district,cases,longitude,latitude
Mumbai,7053.00,72.8561288,19.0176169
Ahmadabad,3026.00,72.5715183,23.022475
Indore,1486.00,75.8069082,22.8354381
Pune,1388.00,74.0300122,18.6832564
New Delhi,1119.00,77.2090212,28.6139391
Thane,943.00,73.3708696,19.4540354
Chennai,906.00,80.254435,13.0587471
Jaipur,896.00,75.8998674,27.0216001
Surat,614.00,72.9932969,21.2628965
Hyderabad,574.00,78.4524591,17.4027421
Kolkata,539.00,88.363895,22.572646
Jodhpur,535.00,72.8988069,26.6838342
Bhopal,508.00,77.4242972,23.4884313
Agra,455.00,78.0195387,27.1281484
Central,410.00,87.879621,23.313875
Kurnool,386.00,78.1108279,15.6443434
South,320.00,88.5,27.18
Vadodara,289.00,73.1821623,22.2064606
Guntur,287.00,80.0087746,16.3905692
Krishna,246.00,80.7214417,16.6099914
East,244.00,88.61,27.32
Lucknow,228.00,80.8986502,26.7862676
North,225.00,88.55,27.52
Kanpur Nagar,205.00,80.2321313,26.4148245
North Twenty Four Pargan*,204.00,88.4029,22.6168
Nashik,197.00,74.0300122,20.16235
Kota,197.00,75.9927652,25.0869886
Kasaragod,181.00,75.201229,12.4386702
Saharanpur,181.00,77.4701972,29.8361115
Howrah,175.00,88.050979,22.5604385
Palghar,169.00,72.9932969,19.7867155
West,169.00,88.25,27.3333
Ajmer,150.00,74.7805192,26.1668245
Coimbatore,147.00,76.9558321,11.0168445
Gautam Buddha Nagar,141.00,77.6077865,28.338333
Nagpur,139.00,79.1999949,21.3170198
Ujjain,138.00,75.5276699,23.2755666
Bangalore,134.00,77.5945627,12.9715987
Tonk,133.00,75.6208088,26.1623706
Bandipore,127.00,74.6868815,34.5052269
Nagaur,118.00,74.0300122,27.185374
Kannur,115.00,75.6208088,11.9709472
Tiruppur,112.00,77.3783789,10.8985415
Bharatpur,111.00,77.2864879,27.0630827
Moradabad,109.00,78.7476208,29.0364263
Srinagar,108.00,74.9442585,34.1255413
Tirunelveli,101.00,77.4701972,8.7152836
Firozabad,100.00,78.5660852,27.1741367
Solapur,99.00,75.5276699,17.6956768
Kancheepuram,98.00,79.8745586,12.8755772
Munger,95.00,86.5400674,25.1960506
Meerut,94.00,77.8367282,28.9563893
Mysore,90.00,76.3637285,12.1873152
Jalandhar,89.00,75.5742467,31.218722
South Twenty Four Pargan*,88.00,88.4016041,22.1352378
Yavatmal,87.00,78.1108279,20.116952
South West,86.00,77.0346164,28.5928929
Sahibzada Ajit Singh Nag*,86.00,76.7567368,30.6496486
Jabalpur,85.00,80.0087746,23.3478153
Madurai,84.00,78.0195387,9.9532779
Sri Potti Sriramulu Nell*,84.00,79.9192702,14.2580848
Baramula,84.00,74.3587473,34.1595145
Suryapet,83.00,79.623924,17.143908
Anantnag,83.00,75.2479061,33.7049708
Dindigul,80.00,77.8367282,10.4747446
Vellore,80.00,78.9288242,12.8464805
Chittoor,80.00,78.8382644,13.4787911
Purba Medinipur,80.00,87.7763333,21.9372879
South East Delhi,79.00,77.261088,28.5630291
Ranchi,78.00,85.354965,23.4088088
Anand,74.00,72.6151169,22.3299068
Chandigarh,74.00,76.7794179,30.7333148
Y.S.R.,73.00,78.8382644,14.5767233
Shupiyan,72.00,74.8039205,33.7593643
Jaisalmer,71.00,70.8119953,26.9542164
West Nimar,70.00,75.8069082,21.90287
Belgaum,69.00,74.7805192,16.168081
Erode,68.00,77.4701972,11.5245781
