Location Number,Location Name,Location Type,Address,City,State,Zip Code,Phone Number,County,Latitude,Longitude,Accuracy
AK0035-003,Mendenhall Valley Public Library,Branch Library,9105 Mendenhall Mall Road,"#134, Juneau",AK,99801,(907) 789-0125,Juneau,58.3715658,-134.5889293,
AK0095,Akiachak School/Community Library,Library System,1 Main Street,Akiachak,AK,99551,(907) 825-3630,Bethel,60.89945,-161.413426,ESTABLISHMENT: APPROXIMATE
AK0095-002,Akiachak School/Community Library,Central Library,1 Main Street,Akiachak,AK,99551,(907) 825-3630,Bethel,60.89945,-161.413426,
AK0094-005,Nunamiut School/Community Library,Branch Library,114 Illinois Avenue,Anaktuvuk Pass,AK,99721,(907) 661-3226,North Slope,68.1410285,-151.7412247,
AK0001-002,Anchor Point Public Library,Central Library,72251 Milo Fritz Avenue,Anchor Point,AK,99556,(907) 235-5692,Kenai Peninsula,59.7796254,-151.8515592,
AK0001,Anchor Point Public Library,Library System,72251 Milo Fritz Avenue,Anchor Point,AK,99556,(907) 235-5692,Kenai Peninsula,59.7796254,-151.8515592,
AK0002,Anchorage Public Library,Library System,3600 Denali Street,Anchorage,AK,99503,(907) 343-2982,Anchorage,61.1870997,-149.8787178,
AK0002-011,Z. J. Loussac Library,Central Library,3600 Denali Street,Anchorage,AK,99503,(907) 343-2982,Anchorage,61.1870997,-149.8787178,STREET_ADDRESS: ROOFTOP
AK0002-012,Mountain View Neighborhood Library,Branch Library,120 South Bragaw Street,Anchorage,AK,99508,(907) 343-2818,Anchorage,61.2239144,-149.8090705,
AK0003-002,Anderson Village Library,Central Library,101 First Street,Anderson,AK,99744,(907) 582-2628,Denali,64.343687,-149.1908006,
AK0003,Anderson Village Library,Library System,101 First Street,Anderson,AK,99744,(907) 582-2628,Denali,64.343687,-149.1908006,
AK0116-001,Aniak Public Library,Central Library,270 Riverfront Drive,Aniak,AK,99557,(907) 675-4435,Bethel,61.5828109,-159.540714,LOCALITY: APPROXIMATE
AK0116,Aniak Public Library,Library System,270 Riverfront Drive,Aniak,AK,99557,(907) 675-4435,Bethel,61.5828109,-159.540714,LOCALITY: APPROXIMATE
AK0121-001,Anvik Community/School Library,Central Library,100 White Spruce Trail,Anvik,AK,99558,(907) 663-6348,Yukon-Koyukuk,62.6394262,-160.2266527,POSTAL_CODE: APPROXIMATE
AK0121,Anvik Community/School Library,Library System,100 White Spruce Trail,Anvik,AK,99558,(907) 663-6348,Yukon-Koyukuk,62.6394262,-160.2266527,POSTAL_CODE: APPROXIMATE
AK0094-006,Meade River School/Community Library,Branch Library,4001 Kippi Street,Atqasuk,AK,99791,(907) 663-6315,North Slope,70.4779002,-157.4158128,
AK0094-010,Tuzzy Consortium Library,Central Library,5421 North Star Street,Barrow,AK,99723,(907) 852-4050,North Slope,71.2983382,-156.7567285,STREET_ADDRESS: RANGE_INTERPOLATED
AK0094,Tuzzy Consortium Library,Library System,5421 North Star Street,Barrow,AK,99723,(907) 852-4050,North Slope,71.2983382,-156.7567285,STREET_ADDRESS: RANGE_INTERPOLATED
AK0006-002,Kuskokwim Consortium Library,Central Library,420 State Highway,Bethel,AK,99559,(907) 543-4516,Bethel,60.7926968,-161.7697192,
AK0006,Kuskokwim Consortium Library,Library System,420 State Highway,Bethel,AK,99559,(907) 543-4516,Bethel,60.7926968,-161.7697192,
AK0007-002,Big Lake Public Library,Central Library,3140 South Big Lake Road,Big Lake,AK,99652,(907) 892-6475,Matanuska-Susitna,61.5475663,-149.8198519,
AK0007,Big Lake Public Library,Library System,3140 South Big Lake Road,Big Lake,AK,99652,(907) 892-6475,Matanuska-Susitna,61.5475663,-149.8198519,
AK0008-002,Cantwell Community Library,Central Library,1 School Road,Cantwell,AK,99729,(907) 768-2372,Denali,63.8720774,-149.011105,ROUTE: GEOMETRIC_CENTER
AK0008,Cantwell Community Library,Library System,1 School Road,Cantwell,AK,99729,(907) 768-2372,Denali,63.8720774,-149.011105,ROUTE: GEOMETRIC_CENTER
AK0011,Chiniak Public Library,Library System,43318 Spruce Way,Chiniak,AK,99615,(907) 486-3022,Kodiak Island,57.611954,-152.235634,STREET_ADDRESS: ROOFTOP
AK0127-001,Coffman Cove Community Library,Central Library,106 Denali Alley,Coffman Cove,AK,99918,(907) 329-2080,Pr Wales-Outer Ke,56.0138889,-132.8277778,
AK0127,Coffman Cove Community Library,Library System,106 Denali Alley,Coffman Cove,AK,99918,(907) 329-2080,Pr Wales-Outer Ke,56.0138889,-132.8277778,
AK0014-002,Cold Bay Public Library,Central Library,10 Baranov Street,Cold Bay,AK,99571,(907) 532-2878,Aleutians East,55.2081205,-162.711212,ROUTE: GEOMETRIC_CENTER
AK0014,Cold Bay Public Library,Library System,10 Baranov Street,Cold Bay,AK,99571,(907) 532-2878,Aleutians East,55.2081205,-162.711212,ROUTE: GEOMETRIC_CENTER
AK0015-002,Cooper Landing Community Library,Central Library,Mile .8 Bean Creek Road,Cooper Landing,AK,99572,(907) 595-1241,Kenai Peninsula,60.4923568,-149.8327446,
AK0015,Cooper Landing Community Library,Library System,Mile .8 Bean Creek Road,Cooper Landing,AK,99572,(907) 595-1241,Kenai Peninsula,60.4923568,-149.8327446,
AK0016-002,Cordova Public Library,Central Library,622 First Street,Cordova,AK,99574,(907) 424-6667,Valdez-Cordova,60.5432564,-145.7586554,STREET_ADDRESS: RANGE_INTERPOLATED
AK0016,Cordova Public Library,Library System,622 First Street,Cordova,AK,99574,(907) 424-6667,Valdez-Cordova,60.5432564,-145.7586554,STREET_ADDRESS: RANGE_INTERPOLATED
AK0017-003,Craig Public Library,Central Library,504 Third Street,Craig,AK,99921,(907) 826-3281,Pr Wales-Outer Ke,55.4760762,-133.1517683,
AK0017,Craig Public Library,Library System,504 Third Street,Craig,AK,99921,(907) 826-3281,Pr Wales-Outer Ke,55.4760762,-133.1517683,
AK0019-002,Delta Community Library,Central Library,2291 Deborah Street,Delta Junction,AK,99737,(907) 895-4102,Se Fairbank,64.0468249,-145.7191344,STREET_ADDRESS: RANGE_INTERPOLATED
AK0019,Delta Community Library,Library System,2291 Deborah Street,Delta Junction,AK,99737,(907) 895-4102,Se Fairbank,64.0468249,-145.7191344,STREET_ADDRESS: RANGE_INTERPOLATED
AK0020-002,Dillingham Public Library,Central Library,306 D Street West,Dillingham,AK,99576,(907) 842-5610,Dillingham,59.0405635,-158.4637554,ROUTE: GEOMETRIC_CENTER
AK0020,Dillingham Public Library,Library System,306 D Street West,Dillingham,AK,99576,(907) 842-5610,Dillingham,59.0405635,-158.4637554,ROUTE: GEOMETRIC_CENTER
AK0035-002,Douglas Public Library,Branch Library,1016 Third Street,Douglas,AK,99824,(907) 364-2378,Juneau,58.2770185,-134.3952813,
AK0021-002,Eagle Public Library,Central Library,2Nd & Amundsen,Eagle,AK,99738,(907) 547-2334,Se Fairbank,64.7876447,-141.2040302,
AK0021,Eagle Public Library,Library System,2Nd & Amundsen,Eagle,AK,99738,(907) 547-2334,Se Fairbank,64.7876447,-141.2040302,
AK0002-007,Chugiak/Eagle River Neighborhood Library,Branch Library,12001 Business Boulevard #176,Eagle River,AK,99577,(907) 343-1530,Anchorage,61.3289005,-149.5702073,
AK0102-002,Egegik Tribal Council Library,Central Library,289 Airport Way,Egegik,AK,99579,(907) 233-2211,Lake And Peninsula,58.2088974,-157.3680852,
AK0102,Egegik Tribal Council Library,Library System,289 Airport Way,Egegik,AK,99579,(907) 233-2211,Lake And Peninsula,58.2088974,-157.3680852,
AK0023-002,Fairbanks North Star Borough Public Library,Central Library,1215 Cowles Street,Fairbanks,AK,99701,(907) 459-1022,Fairbanks North Star,64.8377778,-147.7163889,
AK0023,Fairbanks North Star Borough Public Library,Library System,1215 Cowles Street,Fairbanks,AK,99701,(907) 459-1022,Fairbanks North Star,64.8380752,-147.736923,STREET_ADDRESS: ROOFTOP
AK0023-004,Fairbanks North Star Borough Public Library,Bookmobile,1215 Cowles Street,Fairbanks,AK,99701,(907) 459-1031,Fairbanks North Star,64.8380752,-147.736923,
AK0025-002,Charles Evans Community/School Library,Central Library,299 Antoski Drive,Galena,AK,99741,(907) 656-1883,Yukon-Koyukuk,64.750688,-156.8788662,ROUTE: GEOMETRIC_CENTER
AK0025,Charles Evans Community/School Library,Library System,299 Antoski Drive,Galena,AK,99741,(907) 656-1883,Yukon-Koyukuk,64.750688,-156.8788662,ROUTE: GEOMETRIC_CENTER
AK0002-010,Scott And Wesley Gerrish Neighborhood Library,Branch Library,250 Egloff Drive,Girdwood,AK,99587,(907) 343-4024,Anchorage,60.9607027,-149.1345787,
AK0027-002,Copper Valley Community Library,Central Library,Mile 186 Glenn Highway,Glennallen,AK,99588,(907) 822-5427,Valdez-Cordova,62.1095996,-145.5559902,
AK0027,Copper Valley Community Library,Library System,Mile 186 Glenn Highway,Glennallen,AK,99588,(907) 822-5427,Valdez-Cordova,62.1095996,-145.5559902,
AK0122-001,Grayling Community/School Library,Central Library,David Louis School Building,Grayling,AK,99590,(907) 453-7135,Yukon-Koyukuk,62.9036111,-160.0647222,LOCALITY: APPROXIMATE
AK0122,Grayling Community/School Library,Library System,David Louis School Building,Grayling,AK,99590,(907) 453-7135,Yukon-Koyukuk,62.9036111,-160.0647222,LOCALITY: APPROXIMATE
AK0028-002,Gustavus Public Library,Central Library,14 Gustavus Road,Gustavus,AK,99826,(907) 697-2350,Skagway-Angoon,58.4126979,-135.7310661,ROUTE: GEOMETRIC_CENTER
AK0028,Gustavus Public Library,Library System,14 Gustavus Road,Gustavus,AK,99826,(907) 697-2350,Skagway-Angoon,58.4126979,-135.7310661,ROUTE: GEOMETRIC_CENTER
AK0029-002,Haines Borough Public Library,Central Library,111 Third Avenue South,Haines,AK,99827,(907) 766-2545,Haines,59.2383528,-135.4466559,
AK0029,Haines Borough Public Library,Library System,111 Third Avenue South,Haines,AK,99827,(907) 766-2545,Haines,59.2383528,-135.4466559,
AK0030-002,Tri-Valley Community Library,Central Library,400 Suntrana Street,Healy,AK,99743,(907) 683-2507,Denali,63.873543,-149.017756,
AK0030,Tri-Valley Community Library,Library System,400 Suntrana Street,Healy,AK,99743,(907) 683-2507,Denali,63.873543,-149.017756,
AK0031-002,Hollis Public Library,Central Library,No. 1 Hollis Chilkat Road,Hollis,AK,99950,(907) 530-7112,Pr Wales-Outer Ke,55.94,-133.18,POSTAL_CODE: APPROXIMATE
AK0031,Hollis Public Library,Library System,No. 1 Hollis Chilkat Road,Hollis,AK,99950,(907) 530-7112,Pr Wales-Outer Ke,55.94,-133.18,POSTAL_CODE: APPROXIMATE
AK0104-002,Holy Cross Community/School Library,Central Library,210 Trailway Street,Holy Cross,AK,99602,(907) 476-7131,Yukon-Koyukuk,62.1976086,-159.8528872,POSTAL_CODE: APPROXIMATE
AK0104,Holy Cross Community/School Library,Library System,210 Trailway Street,Holy Cross,AK,99602,(907) 476-7131,Yukon-Koyukuk,62.1976086,-159.8528872,POSTAL_CODE: APPROXIMATE
AK0032-002,Homer Public Library,Central Library,500 Hazel Avenue,Homer,AK,99603,(907) 235-3180,Kenai Peninsula,59.643848,-151.5307959,
AK0032,Homer Public Library,Library System,500 Hazel Avenue,Homer,AK,99603,(907) 235-3180,Kenai Peninsula,59.643848,-151.5307959,
AK0097-002,Esther Greenwald Library,Central Library,366 Garteeni Highway,Hoonah,AK,99829,(907) 945-3611,Skagway-Angoon,58.1081577,-135.4408949,
AK0097,Esther Greenwald Library,Library System,366 Garteeni Highway,Hoonah,AK,99829,(907) 945-3611,Skagway-Angoon,58.1081577,-135.4408949,
AK0033-002,Hope Community Library,Central Library,18487 A Avenue,Hope,AK,99605,(907) 782-3121,Kenai Peninsula,60.9187212,-149.6424532,
AK0033,Hope Community Library,Library System,18487 A Avenue,Hope,AK,99605,(907) 782-3121,Kenai Peninsula,60.9187212,-149.6424532,
